No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
31,Luhe,Huainan East Circuit,Taizhou,Luhe County,1,lake or pond,within 2 li,unknown,3-10 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚÈıÊ®°Ë¡¤¾°ÎïÉÏ¡·,
32,Guangde,Jiangnan East Circuit,Guangde Military Prefecture,,1,lake or pond,within 2 li,others,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,yes,¡¶È«ËÎÎÄµÚ¶ş°Ù¶şÊ®Èı²á¡¤¾íËÄ¾ÅËÄÈı¡¤¹ãµÂ¾ü·ÅÉú³Ø¼Ç¡·,
33,Guangde,Jiangnan East Circuit,Guangde Military Prefecture,,2,river or stream,within 2 li,hall,inside,no,yes,yes,the 2rd year of the Qingyuan Period,1196,renovation or relocation and reconstruction,prefecture chief,no,yes,¡¶È«ËÎÎÄµÚ¶ş°Ù¶şÊ®Èı²á¡¤¾íËÄ¾ÅËÄÈı¡¤¹ãµÂ¾ü·ÅÉú³Ø¼Ç¡·,
34,Jianping,Jiangnan East Circuit,Guangde Military Prefecture,Jianping County,1,river or stream,within 2 li,pavilion,no more than 3 li outside,no,yes,no,the Chunxi Period,1174-1189,initial construction,county chief,unknown,unknown,£¨¼Î¾¸£©½¨Æ½_Ö¾9¾í ½¨Æ½_Ö¾¾íÖ®Ò» Ã÷¼Î¾¸¿Ì±¾,·ÅÉú³ØÔÚÀÉÏª_Ò±Ö®Ç°ËÎ´¾_ÔªÄêÖª__Ñå_·Ö_Ïª½ç_ÖÁ_Ç°Î÷ÖÁ_»İ_°ñ_·ÅÉú³Ø´¾_¶şÄêÖª__Ê®ÄÜ½¨Í¤ÆäÉÏ½ñÍ¤_³Ø´æ_±®_
35,Huizhou,Jiangnan East Circuit,Huizhou,,1,lake or pond,within 2 li,hall,inside,no,unknown,no,the Tianxi Period,1017-1021,initial construction,unknown,no,unknown,¡¶ĞÂ°²Ö¾¡¤¾íÒ»¡·,·ÅÉú³Ø_³¯ÒòÌÆÖ®ÖÆÌììûÔªÄê_»´ÄÏ½­Õã¾£ºş_·ÅÉú³Ø_ÕßÏ¤_Ö®Ôª_³Ø_ÑØ½­»´Öİ_½ü³ÇÉÏÏÂ¸÷ÎåÀï_½û_²¶__Ê®ÈıÄê_ÌìÏÂ¿¤¸÷_³Ø¶ø_ÒÔ__ÈÕ___ÆäÖĞÒÔ__ÈëÕß_Èç_ì¶ÊÇ¿¤_³ÇÎ÷_µØÒÔ__ÖÁÊ®°ËÄêÉĞ_ÀÉÕÂ_Ôö_Ö®×÷¶÷²¨ÌÃºÃÉú__Ö®Í¤ááÊ®_ÄêÎİ_ÏªÁÊ_È¥ÉĞ_ÀÉ_ºî_ĞÂÆäÌÃ¶ø³Ø_´ºÏÄÍùÍù_Ïª_¶¬ÔÂË®Èª___Ëù_Ç¬µÀ°ËÄêÃØ__ºîáãÌÃì¶ÆäÓÒ°Ù_óòÖñÖĞ¿ºË¬Ö®µØ¶ø_ÏªÁ÷ÒÔ·ÅÉúÈçÌììû¹ÊÊÂ
36,Huizhou,Jiangnan East Circuit,Huizhou,,2,river or stream,unknown,hall,inside,no,yes,no,the 8th year of the Qiandao Period,1172,renovation or relocation and reconstruction,others,no,unknown,¡¶ĞÂ°²Ö¾¡¤¾íÒ»¡·,·ÅÉú³Ø_³¯ÒòÌÆÖ®ÖÆÌììûÔªÄê_»´ÄÏ½­Õã¾£ºş_·ÅÉú³Ø_ÕßÏ¤_Ö®Ôª_³Ø_ÑØ½­»´Öİ_½ü³ÇÉÏÏÂ¸÷ÎåÀï_½û_²¶__Ê®ÈıÄê_ÌìÏÂ¿¤¸÷_³Ø¶ø_ÒÔ__ÈÕ___ÆäÖĞÒÔ__ÈëÕß_Èç_ì¶ÊÇ¿¤_³ÇÎ÷_µØÒÔ__ÖÁÊ®°ËÄêÉĞ_ÀÉÕÂ_Ôö_Ö®×÷¶÷²¨ÌÃºÃÉú__Ö®Í¤ááÊ®_ÄêÎİ_ÏªÁÊ_È¥ÉĞ_ÀÉ_ºî_ĞÂÆäÌÃ¶ø³Ø_´ºÏÄÍùÍù_Ïª_¶¬ÔÂË®Èª___Ëù_Ç¬µÀ°ËÄêÃØ__ºîáãÌÃì¶ÆäÓÒ°Ù_óòÖñÖĞ¿ºË¬Ö®µØ¶ø_ÏªÁ÷ÒÔ·ÅÉúÈçÌììû¹ÊÊÂ
37,Jixi,Jiangnan East Circuit,Huizhou,Jixi County,1,lake or pond,within 2 li,unknown,inside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ĞÂ°²Ö¾¡¤¾íÎå¡·,·ÅÉú³ØÔÚ_±±Ô´Í¨_Úé¿É__
38,Jiankang,Jiangnan East Circuit,Jiankang Prefecture,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¾°¶¨½¨¿µÖ¾¡¤¾íÊ®¾ÅÉ½´¨Ö¾Èı¡·,"·ÅÉú³Ø°¸___ÌÆÇ¬ÔªÖĞ_ì¶½­_ÇØ»´Ì«Æ½__½­_¹ùÉÏÏÂÎåÀïÖÃ·ÅÉú³Ø°ËÊ®Ò»ËùÓĞ±®_Öİ´ÌÊ·__ÇäÎÄ_ÒÔ¸®ÖÎ__½ÓÇàÏª±±Í¨__Õß_Ö® _Ö¾ ½ñÇØ_Õâ_¸®_Ö®_¼´¹Å·ÅÉú³ØÒ²´¾Îõ_Ê·´ıÖÆÕıÖ¾ÒÆ·ÅÉú³Øì¶ÇàÏª½¨_ÆäÉÏÓö×£_Á¢°à_ÏÂ¸®_ËìÒò_·ÅÉú³Ø_ãúË®ÆäÁ÷ÒàÍ¨ÇàÏªÍõÉĞ__ÒÔÆä³ØÄË×£ _Ö®µØÁ¢°å°ñì¶_ö§Í¤_½û_²¶³Ø½üĞĞÂ·Ë®Éî¶øµÌ²»¹Ì_ÓĞÄçËÀÕß_¹«¹â×æ_¶ø_Ö®³ØÃû·ÅÉú_ÈİÓĞÄçËÀÕßÄËÃüÄÜÈÊËÂÉ®_µÌ_½ÖÁ¢´óÄ¾___×ÔÊÇ_ÄçÕßÒÓÓÖĞŞ_ÇàÏª_Ç°____ÒÔÖì_Éî_ÍôÑó_ÒàÄªÄÜµ½Ò²Ìì»ù_·ÅÉúÆä__×ãÒÔ¿£»ÊÈÊ¶øËìÎïĞÔ__ÇàÏª_ÏÂ
ÇàÏª_ÔÚ¸®ÖÎ_±±ÇàÏªÉÏ±¾Áº½­_¹ÊÕ¬ÖÁ_³¯___Ö®Õ¬ÓĞÍ¤Ô»¸îÇàÈ¡¾£¹«_¸îÎÒ_É½Ò»°ëÇàÖ®¾äÇ¬µÀÎåÄêÇïÒòÒÆ·ÅÉú³Øì¶ÇàÏªÖ®Çú¼´¸îÇà¹Ê»ù½¨_ÑÉ"
39,Jiankang,Jiangnan East Circuit,Jiankang Prefecture,,2,river or stream,unknown,hall,inside,no,yes,no,the Chunxi Period,1174-1189,renovation or relocation and reconstruction,others,no,unknown,¡¶¾°¶¨½¨¿µÖ¾¡¤¾íÊ®¾ÅÉ½´¨Ö¾Èı¡·,"·ÅÉú³Ø°¸___ÌÆÇ¬ÔªÖĞ_ì¶½­_ÇØ»´Ì«Æ½__½­_¹ùÉÏÏÂÎåÀïÖÃ·ÅÉú³Ø°ËÊ®Ò»ËùÓĞ±®_Öİ´ÌÊ·__ÇäÎÄ_ÒÔ¸®ÖÎ__½ÓÇàÏª±±Í¨__Õß_Ö® _Ö¾ ½ñÇØ_Õâ_¸®_Ö®_¼´¹Å·ÅÉú³ØÒ²´¾Îõ_Ê·´ıÖÆÕıÖ¾ÒÆ·ÅÉú³Øì¶ÇàÏª½¨_ÆäÉÏÓö×£_Á¢°à_ÏÂ¸®_ËìÒò_·ÅÉú³Ø_ãúË®ÆäÁ÷ÒàÍ¨ÇàÏªÍõÉĞ__ÒÔÆä³ØÄË×£ _Ö®µØÁ¢°å°ñì¶_ö§Í¤_½û_²¶³Ø½üĞĞÂ·Ë®Éî¶øµÌ²»¹Ì_ÓĞÄçËÀÕß_¹«¹â×æ_¶ø_Ö®³ØÃû·ÅÉú_ÈİÓĞÄçËÀÕßÄËÃüÄÜÈÊËÂÉ®_µÌ_½ÖÁ¢´óÄ¾___×ÔÊÇ_ÄçÕßÒÓÓÖĞŞ_ÇàÏª_Ç°____ÒÔÖì_Éî_ÍôÑó_ÒàÄªÄÜµ½Ò²Ìì»ù_·ÅÉúÆä__×ãÒÔ¿£»ÊÈÊ¶øËìÎïĞÔ__ÇàÏª_ÏÂ
ÇàÏª_ÔÚ¸®ÖÎ_±±ÇàÏªÉÏ±¾Áº½­_¹ÊÕ¬ÖÁ_³¯___Ö®Õ¬ÓĞÍ¤Ô»¸îÇàÈ¡¾£¹«_¸îÎÒ_É½Ò»°ëÇàÖ®¾äÇ¬µÀÎåÄêÇïÒòÒÆ·ÅÉú³Øì¶ÇàÏªÖ®Çú¼´¸îÇà¹Ê»ù½¨_ÑÉ"
40,Jurong,Jiangnan East Circuit,Jiankang Prefecture,Jurong County,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,the Shaoding Period,1228,initial construction,county chief,yes,unknown,¡¶È«ËÎÎÄµÚÈı°ÙËÄ²á¡¤¾íÁù¾ÅËÄËÄ¡¤±Ù¾äÈİÏØ·ÅÉú³Ø¼Ç¡·,ÇàÔÆ¹Û
